en,sl
Decision of the EEA Joint Committee,Sklep Skupnega odbora EGP
of 13 December 2013,z dne 13. decembra 2013
amending Annex I (Veterinary and phytosanitary matters) to the EEA Agreement,o spremembi Priloge I (Veterinarske in fitosanitarne zadeve) k Sporazumu EGP
"THE EEA JOINT COMMITTEE,",SKUPNI ODBOR EGP JE –
"Having regard to the Agreement on the European Economic Area (‘the EEA Agreement’), and in particular Article 98 thereof,","ob upoštevanju Sporazuma o Evropskem gospodarskem prostoru (v nadaljnjem besedilu: Sporazum EGP) in zlasti člena 98 Sporazuma EGP,"
Whereas:,ob upoštevanju naslednjega:
"Commission Implementing Regulation (EU) No 288/2013 of 25 March 2013 concerning the suspension of the authorisations of the preparation of Bacillus cereus var. toyoi (NCIMB 40112/CNCM I-1012) as provided for by Regulations (EC) No 256/2002, (EC) No 1453/2004, (EC) No 255/2005, (EC) No 1200/2005, (EC) No 166/2008 and (EC) No 378/2009 [1] is to be incorporated into the EEA Agreement.","Izvedbeno uredbo Komisije (EU) št. 288/2013 z dne 25. marca 2013 o začasnem preklicu dovoljenj za pripravek iz Bacillus cereus var. toyoi (NCIMB 40112/CNCM I-1012) iz uredb (ES) št. 256/2002, (ES) št. 1453/2004, (ES) št. 255/2005, (ES) št. 1200/2005, (ES) št. 166/2008 in (ES) št. 378/2009 [1] je treba vključiti v Sporazum EGP."
"Commission Implementing Regulation (EU) No 427/2013 of 8 May 2013 concerning the authorisation of selenomethionine produced by Saccharomyces cerevisiae NCYC R646 as a feed additive for all animal species and amending Regulations (EC) No 1750/2006, (EC) No 634/2007 and (EC) No 900/2009 as regards the maximum supplementation with selenised yeast [2] is to be incorporated into the EEA Agreement.","Izvedbeno uredbo Komisije (EU) št. 427/2013 z dne 8. maja 2013 o izdaji dovoljenja za selenometionin, ki ga proizvajajo iz Saccharomyces cerevisiae NCYC R646, kot krmni dodatek za vse živalske vrste ter o spremembi uredb (ES) št. 1750/2006, (ES) št. 634/2007 in (ES) št. 900/2009 v zvezi z največjim dodatkom seleniziranih kvasovk [2] je treba vključiti v Sporazum EGP."
"Commission Implementing Regulation (EU) No 544/2013 of 14 June 2013 concerning the authorisation of a preparation of Bifidobacterium animalis ssp. animalis DSM 16284, Lactobacillus salivarius ssp. salivarius DSM 16351 and Enterococcus faecium DSM 21913 as a feed additive for chickens for fattening (holder of authorisation Biomin GmbH) [3] is to be incorporated into the EEA Agreement.","Izvedbeno uredbo Komisije (EU) št. 544/2013 z dne 14. junija 2013 o izdaji dovoljenja za pripravek iz Bifidobacterium animalis ssp. animalis DSM 16284, Lactobacillus salivarius ssp. salivarius DSM 16351 in Enterococcus faecium DSM 21913 kot krmni dodatek za piščance za pitanje (imetnik dovoljenja Biomin GmbH) [3] je treba vključiti v Sporazum EGP."
Commission Implementing Regulation (EU) No 642/2013 of 4 July 2013 concerning the authorisation of niacin and niacinamide as feed additives for all animal species [4] is to be incorporated into the EEA Agreement.,Izvedbeno uredbo Komisije (EU) št. 642/2013 z dne 4. julija 2013 o izdaji dovoljenj za niacin in niacinamid kot krmna dodatka za vse živalske vrste [4] je treba vključiti v Sporazum EGP.
Commission Implementing Regulation (EU) No 643/2013 of 4 July 2013 concerning the authorisation of Patent Blue V as a feed additive for non-food producing animals and amending Regulation (EC) No 358/2005 [5] is to be incorporated into the EEA Agreement.,"Izvedbeno uredbo Komisije (EU) št. 643/2013 z dne 4. julija 2013 o izdaji dovoljenja za modro V (Patent Blue V) kot krmni dodatek za živali, ki niso namenjene proizvodnji živil, in spremembi Uredbe (ES) št. 358/2005 [5] je treba vključiti v Sporazum EGP."
Commission Implementing Regulation (EU) No 651/2013 of 9 July 2013 concerning the authorisation of clinoptilolite of sedimentary origin as a feed additive for all animal species and amending Regulation (EC) No 1810/2005 [6] is to be incorporated into the EEA Agreement.,Izvedbeno uredbo Komisije (EU) št. 651/2013 z dne 9. julija 2013 o izdaji dovoljenja za klinoptilolit sedimentarnega izvora kot krmni dodatek za vse živalske vrste in spremembi Uredbe (ES) št. 1810/2005 [6] je treba vključiti v Sporazum EGP.
"Commission Implementing Regulation (EU) No 725/2013 of 26 July 2013 concerning the authorisation of ammonium chloride as a feed additive for ruminants, cats and dogs (holder of the authorisation BASF SE) [7] is to be incorporated into the EEA Agreement.","Izvedbeno uredbo Komisije (EU) št. 725/2013 z dne 26. julija 2013 o izdaji dovoljenja za amonijev klorid kot krmni dodatek za prežvekovalce, pse in mačke (imetnik dovoljenja BASF SE) [7] je treba vključiti v Sporazum EGP."
This Decision concerns legislation regarding feedingstuffs.,Ta sklep se nanaša na zakonodajo v zvezi s krmili.
"Legislation regarding feedingstuffs shall not apply to Liechtenstein as long as the application of the Agreement between the European Community and the Swiss Confederation on trade in agricultural products is extended to Liechtenstein, as specified in the sectoral adaptations to Annex I to the EEA Agreement.","Zakonodaja v zvezi s krmili se ne uporablja za Lihtenštajn, dokler se Sporazum med Evropsko skupnostjo in Švicarsko konfederacijo o trgovini s kmetijskimi proizvodi uporablja tudi za Lihtenštajn, kakor je navedeno v sektorskih prilagoditvah Priloge I k Sporazumu EGP."
This Decision is therefore not to apply to Liechtenstein.,Ta sklep se zato ne uporablja za Lihtenštajn.
"Annex I to the EEA Agreement should therefore be amended accordingly,",Prilogo I k Sporazumu EGP bi bilo zato treba ustrezno spremeniti –
HAS ADOPTED THIS DECISION:,SPREJEL NASLEDNJI SKLEP:
Article 1,Člen 1
Chapter II of Annex I to the EEA Agreement shall be amended as follows:,Poglavje II Priloge I k Sporazumu EGP se spremeni:
the following is added in point 1zzg (Commission Regulation (EC) No 358/2005):,v točki 1zzg (Uredba Komisije (ES) št. 358/2005) se doda naslednje:
"‘, as amended by:","„, kakor jo spreminja:"
"32013 R 0643: Commission Implementing Regulation (EU) No 643/2013 of 4 July 2013 (OJ L 186, 5.7.2013, p. 7).’;","32013 R 0643: Izvedbena uredba Komisije (EU) št. 643/2013 z dne 4. julija 2013 (UL L 186, 5.7.2013, str. 7).“;"
the following is added in point 1zzq (Commission Regulation (EC) No 1810/2005):,v točki 1zzq (Uredba Komisije (ES) št. 1810/2005) se doda naslednje:
"32013 R 0651: Commission Implementing Regulation (EU) No 651/2013 of 9 July 2013 (OJ L 189, 10.7.2013, p. 1).’;","32013 R 0651: Izvedbena uredba Komisije (EU) št. 651/2013 z dne 9. julija 2013 (UL L 189, 10.7.2013, str. 1).“;"
"the following is added in points 1zzze (Commission Regulation (EC) No 1750/2006), 1zzzt (Commission Regulation (EC) No 634/2007) and 1zzzzzl (Commission Regulation (EC) No 900/2009):","v točkah 1zzze (Uredba Komisije (ES) št. 1750/2006), 1zzzt (Uredba Komisije (ES) št. 634/2007) in 1zzzzzl (Uredba Komisije (ES) št. 900/2009) se doda naslednje:"
"32013 R 0427: Commission Implementing Regulation (EU) No 427/2013 of 8 May 2013 (OJ L 127, 9.5.2013, p. 20).’;","32013 R 0427: Izvedbena uredba Komisije (EU) št. 427/2013 z dne 8. maja 2013 (UL L 127, 9.5.2013, str. 20).“;"
the following points are inserted after point 86 (Commission Implementing Regulation (EU) No 667/2013):,za točko 86 (Izvedbena uredba Komisije (EU) št. 667/2013) se vstavijo naslednje točke:
"32013 R 0288: Commission Implementing Regulation (EU) No 288/2013 of 25 March 2013 concerning the suspension of the authorisations of the preparation of Bacillus cereus var. toyoi (NCIMB 40112/CNCM I-1012) as provided for by Regulations (EC) No 256/2002, (EC) No 1453/2004, (EC) No 255/2005, (EC) No 1200/2005, (EC) No 166/2008 and (EC) No 378/2009 (OJ L 86, 26.3.2013, p. 15).","32013 R 0288: Izvedbena uredba Komisije (EU) št. 288/2013 z dne 25. marca 2013 o začasnem preklicu dovoljenj za pripravek iz Bacillus cereus var. toyoi (NCIMB 40112/CNCM I-1012) iz uredb (ES) št. 256/2002, (ES) št. 1453/2004, (ES) št. 255/2005, (ES) št. 1200/2005, (ES) št. 166/2008 in (ES) št. 378/2009 (UL L 86, 26.3.2013, str. 15)."
